sepal length,sepal width,petal length,petal width,class
4.6,3.4,1.4,0.3,Iris-setosa
4.8,3,1.4,0.1,Iris-setosa
4.3,3,1.1,0.1,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.6,3.6,1,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor
5.4,3,4.5,1.5,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
7.6,3,6.6,2.1,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
5.6,2.8,4.9,2,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3,4.9,1.8,Iris-virginica
7.7,3,6.1,2.3,Iris-virginica
6.7,3,5.2,2.3,Iris-virginica
5.9,3,5.1,1.8,Iris-virginica
