sepal length,sepal width,petal length,petal width,class
5,3.6,1.4,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
4.3,3,1.1,0.1,Iris-setosa
5.8,4,1.2,0.2,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
4.6,3.6,1,0.2,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5,3.2,1.2,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5,3.5,1.3,0.3,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.8,3,1.4,0.3,Iris-setosa
7,3.2,4.7,1.4,Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor
6,3.4,4.5,1.6,Iris-versicolor
5,2.3,3.3,1,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor
6.3,3.3,6,2.5,Iris-virginica
7.1,3,5.9,2.1,Iris-virginica
7.6,3,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
